Name/Address,Latitude,Longitude
University Pkwy / 2230 N (SB),40.26246800,-111.66712300
BYU South Campus Station,40.24576500,-111.64591600
State St @ 1150 S,40.27577800,-111.68539700
1200 W @ 660 N,40.30919500,-111.72435200
1200 W @ 1320 N,40.32121800,-111.72468500
1720 N / 550 W (WB),40.25703000,-111.66894200
800 E @ 1169 S,40.27573600,-111.67595700
State St / University Pkwy (SB),40.27223300,-111.68425200
State St / 1500 S (SB),40.26938500,-111.68304100
700 N / 600 E (EB),40.24291700,-111.64868400
550 W / University Pkwy (NB),40.26175200,-111.66793300
800 E / 1150 S (SB),40.27599900,-111.67629200
300 S / 400 E (WB),40.22975900,-111.65201800
500 W / 200 N (NB),40.23756300,-111.66762400
900 E / 300 N (SB),40.23791400,-111.64331900
900 E / 200 N (SB),40.23611500,-111.64330800
900 E / Center St (SB),40.23443100,-111.64333800
900 E / 50 S (SB),40.23247800,-111.64315900
900 E @ 390 S,40.22860400,-111.64282500
900 E @ 534 S,40.22649900,-111.64276400
100 N @ 875 E,40.04461200,-111.71852600
100 N @ 601 E,40.04459200,-111.72300400
Highway 198 @ 502 W,40.05123100,-111.68327100
1460 N / 1220 W (EB),40.25341000,-111.68085900
1460 N / 1220 W (WB),40.25351900,-111.68013500
Center St @ 2084 W,40.23393000,-111.69547400
University Pkwy / 200 W (WB),40.27376000,-111.70062200
UVU Fulton Library (WB),40.28088200,-111.71567100
State St / 1600 S (SB),40.26726000,-111.68211000
Main St @ 1456 N,40.18651700,-111.61052400
Lehi Station (Bay B),40.42583600,-111.89592400
Lehi Station (Bay E),40.42560800,-111.89555500
Provo Central Station (Bay A),40.22538900,-111.66172300
State St @ 1090 S,40.21957800,-111.63916800
Orem Central Station (Bay F),40.28079300,-111.72638400
500 W / 940 N (SB),40.24613900,-111.66756600
800 S @ 996 W,40.03145700,-111.74893200
800 S / State St (EB),40.28231900,-111.68743900
State St @ Grandview Ln. (NB),40.25698000,-111.67269100
Center St @ 369 E,40.10992200,-111.64832200
Center St @ 745 E,40.11003700,-111.64077800
800 E @ 525 S,40.28739400,-111.67616400
500 W @ 988 N,40.24675700,-111.66731700
1200 W @ 1465 N,40.32363500,-111.72490400
State St / 600 N (SB),40.30814700,-111.70006300
State St / 200 S (SB),40.29268900,-111.69324700
1200 W @ 1575 N,40.32577800,-111.72497800
1600 N @ 381 E,40.32670500,-111.68732200
800 E / 800 N (SB),40.31130400,-111.67678100
UVU Station (Adjacent bus stop WB),40.27584000,-111.71222300
1430 S / Sandhill Rd (EB),40.27076200,-111.71108200
1430 S / 550 W (EB),40.27070200,-111.70844700
800 E @ 225 S,40.29269500,-111.67626100
2230 N / 350 W (EB),40.26351100,-111.66542500
2230 N / Freedom Blvd (WB),40.26352400,-111.66161800
2230 N / 400 W (WB),40.26363300,-111.66478900
State St @ 800 S (NB),40.28295200,-111.68855600
University Ave / 700 N (NB),40.24361800,-111.65849200
University Ave / 960 N (NB),40.24698100,-111.65849300
900 E @ 591 S,40.22602800,-111.64248900
University Ave / Towne Centre (NB),40.21702600,-111.65879800
University Ave / 900 S (NB),40.22218200,-111.65856900
University Ave / 1000 S (SB),40.22043800,-111.65921000
University Ave / Towne Centre (SB),40.21822600,-111.65921000
400 N @ 22 E,40.17220100,-111.61021800
400 N @ 220 E,40.17217300,-111.60659700
500 W / 500 N (SB),40.24001700,-111.66761500
900 E / 300 S (NB),40.23005200,-111.64265600
800 E @ 680 N,40.11828000,-111.64051800
800 E @ 985 N,40.31530800,-111.67681700
East Bay Blvd @ 126 E,40.21450400,-111.65656300
State St / 200 N (SB),40.34151100,-111.72009400
1600 N @ 84 W,40.32670300,-111.69801200
UVU Institute (EB),40.28001400,-111.71385100
State St @ 830 N,40.31327800,-111.70188800
