X,Y,fid_,stopabbr,stopname,city,county,stopabbr_j,uta_stopid,latitude,longitude,avgboard,avgalight,route,mode,zipcode,avgboard2,avgalight2
-111.853904,40.736138,"1351","126571",1300 E @ 1540 S,Salt Lake City,Salt Lake,"126571","126571",40.73613800,-111.85390400,"2","2","213",Bus,"84105",2.08000000,1.84000000
-111.853924,40.7316890000001,"1353","126573",1300 E @ 1784 S,Salt Lake City,Salt Lake,"126573","126573",40.73168900,-111.85392400,"2","1","213",Bus,"84105",1.82000000,0.53000000
-111.85399,40.729403,"1354","126575",1300 E @ 1876 S,Salt Lake City,Salt Lake,"126575","126575",40.72940300,-111.85399000,"1","1","213",Bus,"84105",0.78000000,1.05000000
-111.853969,40.7257690000001,"1355","126577",1300 E @ 2078 S,Salt Lake City,Salt Lake,"126577","126577",40.72576900,-111.85396900,"8","10","213",Bus,"84105",7.53000000,10.27000000
-111.853889,40.723594,"1356","126578",1300 E @ 2188 S,Salt Lake City,Salt Lake,"126578","126578",40.72359400,-111.85388900,"5","4","213",Bus,"84106",4.68000000,3.95000000
-111.853822,40.7180310000001,"1357","126580",1300 E @ 2466 S,Salt Lake City,Salt Lake,"126580","126580",40.71803100,-111.85382200,"1","0","213",Bus,"84106",1.04000000,0.26000000
-111.853456,40.718084,"1358","126581",1300 E @ 2455 S,Salt Lake City,Salt Lake,"126581","126581",40.71808400,-111.85345600,"1","0","213",Bus,"84106",1.04000000,0.00000000
-111.853854,40.7294630000001,"1359","126586",1300 E @ 1875 S,Salt Lake City,Salt Lake,"126586","126586",40.72946300,-111.85385400,"1","1","213",Bus,"84105",0.78000000,1.05000000
-111.826559,40.751272,"1382","127015",Arapeen Dr / Sunnyside Ave (NB),Salt Lake City,Salt Lake,"127015","127015",40.75127200,-111.82655900,"5","1","223",Bus,"84108",4.68000000,0.53000000
-112.097474,40.7036870000001,"1485","132020",3100 S / 8620 W (EB),Magna,Salt Lake,"132020","132020",40.70368700,-112.09747400,"4","4","35",Bus,"84044",3.90000000,4.48000000
-112.005786,40.689825,"1523","134012",4800 W @ 3790 S,West Valley City,Salt Lake,"134012","134012",40.68982500,-112.00578600,"0","1","248",Bus,"84120",0.36000000,0.57000000
-111.999162,40.682152,"1546","134072",4100 S @ 4528 W,West Valley City,Salt Lake,"134072","134072",40.68215200,-111.99916200,"1","1","47",Bus,"84120",1.30000000,0.79000000
-111.977038,40.7114950000001,"1720","135218",3600 W / Parkway Blvd (NB),West Valley City,Salt Lake,"135218","135218",40.71149500,-111.97703800,"2","8","509, 513",Bus,"84119",2.08000000,8.16000000
-111.911126,40.6940730000001,"1828","136157",700 W @ 3565 S,South Salt Lake,Salt Lake,"136157","136157",40.69407300,-111.91112600,"3","4","35",Bus,"84119",2.60000000,4.48000000
-111.911311,40.692217,"1829","136175",700 W @ 3600 S,South Salt Lake,Salt Lake,"136175","136175",40.69221700,-111.91131100,"11","9","35",Bus,"84119",10.65000000,9.22000000
-111.865553,40.7017650000001,"1887","137028",900 E / Springview Dr (SB),Millcreek,Salt Lake,"137028","137028",40.70176500,-111.86555300,"3","12","209",Bus,"84106",2.60000000,12.11000000
-111.885375,40.687152,"1926","137074",3900 S @ 201 E,South Salt Lake,Salt Lake,"137074","137074",40.68715200,-111.88537500,"4","2","39",Bus,"84115",3.64000000,2.11000000
-111.876932,40.6822310000001,"1927","137075",500 E / 4100 S (NB),Millcreek,Salt Lake,"137075","137075",40.68223100,-111.87693200,"16","4","205",Bus,"84107",15.85000000,3.69000000
-111.876931,40.683639,"1928","137076",500 E / 4050 S (NB),Millcreek,Salt Lake,"137076","137076",40.68363900,-111.87693100,"10","3","205",Bus,"84107",10.13000000,2.63000000
-111.876787,40.712994,"1938","137093",500 E / 2700 S (NB),Salt Lake City,Salt Lake,"137093","137093",40.71299400,-111.87678700,"6","4","205",Bus,"84106",5.98000000,4.48000000
-111.876809,40.715782,"1939","137094",Columbus Center (NB),Salt Lake City,Salt Lake,"137094","137094",40.71578200,-111.87680900,"3","2","205",Bus,"84106",2.60000000,2.11000000
-111.92944,40.7552400000001,"1060","125226",Navajo St / Arapahoe Ave (NB),Salt Lake City,Salt Lake,"125226","125226",40.75524000,-111.92944000,"3","16","9",Bus,"84104",2.60000000,15.54000000
-111.852474,40.6661770000001,"1977","137154",Murray Holladay Rd @ 1366 E,Holladay,Salt Lake,"137154","137154",40.66617700,-111.85247400,"2","1","45",Bus,"84117",1.82000000,0.53000000
-111.872259,40.699821,"1978","137155",3300 S @ 680 E,South Salt Lake,Salt Lake,"137155","137155",40.69982100,-111.87225900,"6","23","33",Bus,"84106",5.98000000,23.18000000
-111.865076,40.661724,"1979","137170",900 E / Eastgate Rd (SB),Murray,Salt Lake,"137170","137170",40.66172400,-111.86507600,"1","6","209",Bus,"84107",1.04000000,5.53000000
-111.854246,40.7093620000001,"1982","137197",Highland Dr @ 2858 S,Salt Lake City,Salt Lake,"137197","137197",40.70936200,-111.85424600,"0","1","220",Bus,"84106",0.00000000,0.53000000
-111.854,40.6845730000001,"2012","137245",1300 E @ 4001 S,Millcreek,Salt Lake,"137245","137245",40.68457300,-111.85400000,"1","1","213",Bus,"84124",0.52000000,0.79000000
-111.880144,40.686992,"2053","137319",3900 S @ 398 E,Millcreek,Salt Lake,"137319","137319",40.68699200,-111.88014400,"3","8","39",Bus,"84107",3.12000000,7.64000000
-111.876728,40.686988,"2054","137320",3900 S @ 510 E,Millcreek,Salt Lake,"137320","137320",40.68698800,-111.87672800,"5","9","39",Bus,"84107",5.46000000,9.48000000
-111.873391,40.686968,"2055","137321",3900 S @ 630 E,Millcreek,Salt Lake,"137321","137321",40.68699100,-111.87399700,"1","5","39",Bus,"84107",0.52000000,4.74000000
-111.870613,40.6869550000001,"2056","137322",3900 S @ 718 E,Millcreek,Salt Lake,"137322","137322",40.68695500,-111.87061300,"1","8","39",Bus,"84107",1.30000000,7.90000000
-111.86816,40.686971,"2057","137323",3900 S @ 810 E,Millcreek,Salt Lake,"137323","137323",40.68698500,-111.86861200,"1","3","39",Bus,"84107",1.30000000,2.90000000
-111.864624,40.68695,"2058","137324",3900 S @ 910 E,Millcreek,Salt Lake,"137324","137324",40.68695000,-111.86462400,"3","22","39",Bus,"84124",3.38000000,21.60000000
-111.862877,40.686985,"2059","137325",3900 S @ 994 E,Millcreek,Salt Lake,"137325","137325",40.68698500,-111.86287700,"0","3","39",Bus,"84124",0.00000000,3.16000000
-111.859315,40.686942,"2060","137326",3900 S @ 1112 E,Millcreek,Salt Lake,"137326","137326",40.68694200,-111.85931500,"0","9","39",Bus,"84124",0.26000000,8.95000000
-111.88809,40.708876,"2104","137429",State St @ 2849 S,South Salt Lake,Salt Lake,"137429","137429",40.70887600,-111.88809000,"2","1","200",Bus,"84115",1.56000000,1.05000000
-111.812007,40.6871150000001,"2173","138061",3900 S @ 2829 E,Millcreek,Salt Lake,"138061","138061",40.68711500,-111.81200700,"2","0","39",Bus,"84124",2.34000000,0.00000000
-111.81544,40.6871380000001,"2174","138062",3900 S @ 2681 E,Millcreek,Salt Lake,"138062","138062",40.68713800,-111.81544000,"3","1","39",Bus,"84124",2.60000000,1.05000000
-111.834019,40.704326,"2156","138003",2000 E @ 3079 S,Millcreek,Salt Lake,"138003","138003",40.70432600,-111.83401900,"1","0","223",Bus,"84109",0.52000000,0.00000000
-112.020029,40.667516,"1552","134084",4700 S @ 5407 W,Kearns,Salt Lake,"134084","134084",40.66751600,-112.02002900,"3","2","47",Bus,"84118",3.12000000,1.58000000
-111.957885,40.689246,"1618","135025",Constitution Blvd @ 3803 S,West Valley City,Salt Lake,"135025","135025",40.68924600,-111.95788500,"0","1","227",Bus,"84119",0.21000000,1.00000000
-111.976234,40.7039960000001,"1657","135125",3100 S @ 3596 W,West Valley City,Salt Lake,"135125","135125",40.70399600,-111.97623400,"3","0","248",Bus,"84119",3.20000000,0.50000000
-111.986732,40.6958910000001,"1658","135137",4000 W @ 3540 S,West Valley City,Salt Lake,"135137","135137",40.69589100,-111.98673200,"29","3","240",Bus,"84120",28.58000000,3.42000000
-111.991341,40.711284,"1661","135141",Lake Park Blvd @ 4170 W,West Valley City,Salt Lake,"135141","135141",40.71128400,-111.99134100,"0","0","513",Bus,"84120",0.21000000,0.00000000
-111.849929,40.6998380000001,"2031","137296",3300 S @ 1460 E,Millcreek,Salt Lake,"137296","137296",40.69983800,-111.84992900,"11","23","33",Bus,"84106",11.43000000,22.91000000
-111.847946,40.7435620000001,"1280","126419",1500 E @ 1151 S,Salt Lake City,Salt Lake,"126419","126419",40.74356200,-111.84794600,"1","1","17",Bus,"84105",1.14000000,0.78000000
-111.888041,40.7370010000001,"1315","126482",State St @ 1495 S,Salt Lake City,Salt Lake,"126482","126482",40.73700100,-111.88804100,"24","21","200",Bus,"84115",23.64000000,21.07000000
-111.848547,40.687016,"1891","137032",3900 S @ 1498 E,Millcreek,Salt Lake,"137032","137032",40.68701600,-111.84854700,"0","3","39",Bus,"84124",0.00000000,2.90000000
-111.976241,40.703829,"1767","135302",3100 S @ 3555 W,West Valley City,Salt Lake,"135302","135302",40.70382900,-111.97624100,"1","4","248",Bus,"84119",1.49000000,3.57000000
-111.834175,40.706103,"2242","138209",2000 E @ 2990 S,Millcreek,Salt Lake,"138209","138209",40.70610300,-111.83417500,"0","0","223",Bus,"84109",0.00000000,0.00000000
-111.929565,40.750931,"1061","125233",Navajo St / Indiana Ave (SB),Salt Lake City,Salt Lake,"125233","125233",40.75093100,-111.92956500,"31","8","9",Bus,"84104",30.92000000,7.90000000
-111.929528,40.748006,"1062","125235",Navajo St / 1000 S (SB),Salt Lake City,Salt Lake,"125235","125235",40.74800600,-111.92952800,"10","4","9",Bus,"84104",10.13000000,3.95000000
